id,mode,recommended_amount,pnl,maxdd,sharpe,win_rate,strategy_name,ltf_interval,created_at,raw_row
50,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:12:04.896174,"{'trial_id': 50, 'number': 49, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:12:04.896174', 'datetime_complete': '2025-09-28 04:12:07.595298'}"
51,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:21:07.124531,"{'trial_id': 51, 'number': 50, 'study_id': 1, 'state': 'FAIL', 'datetime_start': '2025-09-28 04:21:07.124531', 'datetime_complete': '2025-09-28 04:21:09.885170'}"
52,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:22:05.903060,"{'trial_id': 52, 'number': 51, 'study_id': 1, 'state': 'FAIL', 'datetime_start': '2025-09-28 04:22:05.903060', 'datetime_complete': '2025-09-28 04:22:08.676636'}"
53,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:22:58.112902,"{'trial_id': 53, 'number': 52, 'study_id': 1, 'state': 'FAIL', 'datetime_start': '2025-09-28 04:22:58.112902', 'datetime_complete': '2025-09-28 04:23:00.865819'}"
54,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:31:34.249839,"{'trial_id': 54, 'number': 53, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:31:34.249839', 'datetime_complete': '2025-09-28 04:31:37.696010'}"
55,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:31:37.709618,"{'trial_id': 55, 'number': 54, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:31:37.709618', 'datetime_complete': '2025-09-28 04:31:40.493447'}"
56,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:31:40.507252,"{'trial_id': 56, 'number': 55, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:31:40.507252', 'datetime_complete': '2025-09-28 04:31:43.353867'}"
57,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:31:43.365223,"{'trial_id': 57, 'number': 56, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:31:43.365223', 'datetime_complete': '2025-09-28 04:31:46.761957'}"
58,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:31:46.772723,"{'trial_id': 58, 'number': 57, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:31:46.772723', 'datetime_complete': '2025-09-28 04:31:49.518352'}"
59,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:31:49.530533,"{'trial_id': 59, 'number': 58, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:31:49.530533', 'datetime_complete': '2025-09-28 04:31:52.452879'}"
60,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:31:52.465191,"{'trial_id': 60, 'number': 59, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:31:52.465191', 'datetime_complete': '2025-09-28 04:31:55.420245'}"
61,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:31:55.432218,"{'trial_id': 61, 'number': 60, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:31:55.432218', 'datetime_complete': '2025-09-28 04:31:58.094728'}"
62,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:31:58.107017,"{'trial_id': 62, 'number': 61, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:31:58.107017', 'datetime_complete': '2025-09-28 04:32:00.939363'}"
63,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:00.951454,"{'trial_id': 63, 'number': 62, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:00.951454', 'datetime_complete': '2025-09-28 04:32:03.679244'}"
64,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:03.689797,"{'trial_id': 64, 'number': 63, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:03.689797', 'datetime_complete': '2025-09-28 04:32:06.518256'}"
65,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:06.528976,"{'trial_id': 65, 'number': 64, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:06.528976', 'datetime_complete': '2025-09-28 04:32:09.538431'}"
66,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:09.550738,"{'trial_id': 66, 'number': 65, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:09.550738', 'datetime_complete': '2025-09-28 04:32:12.233789'}"
67,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:12.244790,"{'trial_id': 67, 'number': 66, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:12.244790', 'datetime_complete': '2025-09-28 04:32:15.006079'}"
68,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:15.016880,"{'trial_id': 68, 'number': 67, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:15.016880', 'datetime_complete': '2025-09-28 04:32:17.799251'}"
69,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:17.812138,"{'trial_id': 69, 'number': 68, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:17.812138', 'datetime_complete': '2025-09-28 04:32:20.558222'}"
