trial_id,number,study_id,state,datetime_start,datetime_complete,pnl,maxdd,sharpe,dca_max_steps,dca_ratio,dca_spacing,rsi_threshold,td_confirm,win_rate
21,20,1,COMPLETE,2025-09-28 04:10:46.748902,2025-09-28 04:10:49.424337,-0.36854162409692526,0.4338437808119751,0.8618698562818775,1.0,0.15960924724790987,0.018270504326561295,66.0,0.0,0.0
22,21,1,COMPLETE,2025-09-28 04:10:49.437648,2025-09-28 04:10:52.123996,-0.6333321035057877,0.40738850844437297,1.2447754767445969,4.0,0.23380738249285,0.036707115714518276,33.0,1.0,0.0
23,22,1,COMPLETE,2025-09-28 04:10:52.135418,2025-09-28 04:10:54.881423,0.3426479897037209,0.5555489116975872,0.8658234898356815,2.0,0.13313905902389742,0.0460397706790433,68.0,1.0,0.0
24,23,1,COMPLETE,2025-09-28 04:10:54.892764,2025-09-28 04:10:57.565046,-0.5448836420727465,0.6497195711130437,1.354737696765183,2.0,0.1388841527399583,0.028710257387410135,43.0,1.0,0.0
25,24,1,COMPLETE,2025-09-28 04:10:57.576938,2025-09-28 04:11:00.242211,-0.033377209343926045,0.4036370001510118,1.2518467124415402,3.0,0.14823574848500867,0.04888671497932176,68.0,1.0,0.0
26,25,1,COMPLETE,2025-09-28 04:11:00.252426,2025-09-28 04:11:03.017165,0.754431259021589,0.5306378937354488,0.7720300369746623,1.0,0.11615106826511928,0.0428402838504335,37.0,1.0,0.0
27,26,1,COMPLETE,2025-09-28 04:11:03.029235,2025-09-28 04:11:05.664939,0.08359882071512302,0.4776096895958729,0.9707726773284998,1.0,0.28543575346875555,0.0309588722367172,67.0,0.0,0.0
28,27,1,COMPLETE,2025-09-28 04:11:05.677431,2025-09-28 04:11:08.329993,-0.40789927465928166,0.403606721358437,0.9120724701659514,3.0,0.37571144310866866,0.026914087660249712,62.0,0.0,0.0
29,28,1,COMPLETE,2025-09-28 04:11:08.342256,2025-09-28 04:11:11.041837,-0.02669884740702988,0.4227562549467284,0.7223744828040632,4.0,0.18378797446400685,0.03868208529977873,70.0,0.0,0.0
30,29,1,COMPLETE,2025-09-28 04:11:11.052490,2025-09-28 04:11:13.701508,-0.16892288321307572,0.512846716207495,0.6797962990313262,3.0,0.3242248972769995,0.03862360634002912,74.0,0.0,0.0
31,30,1,COMPLETE,2025-09-28 04:11:13.713552,2025-09-28 04:11:16.427387,0.2010659675504236,0.3798338942071619,1.116274634935544,2.0,0.18276770541771203,0.020666875580429647,35.0,0.0,0.0
32,31,1,COMPLETE,2025-09-28 04:11:16.437870,2025-09-28 04:11:19.135433,0.19996345242086755,0.5200917140194674,0.8164162896762295,2.0,0.34455328021544607,0.035025648880140835,53.0,1.0,0.0
33,32,1,COMPLETE,2025-09-28 04:11:19.147345,2025-09-28 04:11:21.781694,0.005268025943592473,0.343264792049727,1.2366488672464218,4.0,0.4457752244228227,0.03564516843533135,50.0,0.0,0.0
34,33,1,COMPLETE,2025-09-28 04:11:21.792149,2025-09-28 04:11:24.588849,0.00838259850926698,0.4426216137604286,0.8515382108039912,5.0,0.13641594345837468,0.019467518109021233,72.0,1.0,0.0
35,34,1,COMPLETE,2025-09-28 04:11:24.599148,2025-09-28 04:11:27.324475,-0.24550875697826213,0.2716260050708941,1.0733788550242196,1.0,0.3148219448484806,0.04286636761945936,67.0,1.0,0.0
36,35,1,COMPLETE,2025-09-28 04:11:27.334911,2025-09-28 04:11:30.011470,-0.3582610235496667,0.607028973919612,0.938586582742667,5.0,0.23127945798632588,0.020885550487303027,80.0,0.0,0.0
37,36,1,COMPLETE,2025-09-28 04:11:30.022064,2025-09-28 04:11:32.741334,0.15120955604502648,0.4909731858884978,1.2116201392916368,5.0,0.3255266537909519,0.048112923878585574,58.0,1.0,0.0
38,37,1,COMPLETE,2025-09-28 04:11:32.754014,2025-09-28 04:11:35.365633,-0.017754570843966627,0.511856239754492,0.8072800779573072,2.0,0.35401218061202533,0.03381422355214226,23.0,1.0,0.0
39,38,1,COMPLETE,2025-09-28 04:11:35.377960,2025-09-28 04:11:38.134816,-0.21762221850148306,0.5679661702985261,0.9932288526188063,5.0,0.16047871857765839,0.027933046961865583,63.0,1.0,0.0
40,39,1,COMPLETE,2025-09-28 04:11:38.145354,2025-09-28 04:11:40.828076,0.08078532898724931,0.534991770074039,1.2245639379833244,2.0,0.11702427822503254,0.04059101483188903,52.0,1.0,0.0
41,40,1,COMPLETE,2025-09-28 04:11:40.840858,2025-09-28 04:11:43.417906,0.08683283884891452,0.8295793189442355,0.670594946718468,2.0,0.41123734234585707,0.020982063216023056,78.0,1.0,0.0
42,41,1,COMPLETE,2025-09-28 04:11:43.430296,2025-09-28 04:11:46.102186,0.05854659365758761,0.8047371111767986,0.905357392807128,5.0,0.46381474733719996,0.035299202694945006,65.0,0.0,0.0
43,42,1,COMPLETE,2025-09-28 04:11:46.115083,2025-09-28 04:11:48.890442,0.5638220267053896,0.5535426450264718,0.9715306121894203,3.0,0.27593077551457246,0.025979934371042776,52.0,1.0,0.0
44,43,1,COMPLETE,2025-09-28 04:11:48.902080,2025-09-28 04:11:51.565593,0.21797682673876073,0.49053502634856283,1.1274579797505708,1.0,0.20817625353590194,0.04301950149265898,26.0,0.0,0.0
45,44,1,COMPLETE,2025-09-28 04:11:51.578844,2025-09-28 04:11:54.272738,0.012406292409724731,0.660834123860034,1.0350635162510795,4.0,0.25644617662385705,0.010082023986488503,55.0,1.0,0.0
46,45,1,COMPLETE,2025-09-28 04:11:54.284297,2025-09-28 04:11:56.914426,-0.08954142823527098,0.45100805962857204,0.8583015583425502,4.0,0.42959850566518,0.04153037949543782,20.0,1.0,0.0
47,46,1,COMPLETE,2025-09-28 04:11:56.925078,2025-09-28 04:11:59.526665,-0.14329219667259432,0.4448330695109868,0.9485410924625557,1.0,0.10827146937784625,0.030984961862588895,37.0,0.0,0.0
48,47,1,COMPLETE,2025-09-28 04:11:59.539314,2025-09-28 04:12:02.235490,0.063221764160509,0.4811340194005182,1.0485956913249657,1.0,0.2310567118947751,0.017917531200537212,77.0,0.0,0.0
49,48,1,COMPLETE,2025-09-28 04:12:02.245959,2025-09-28 04:12:04.884308,0.18361914826021516,0.5313837456869559,1.07591725908116,2.0,0.3745264051000784,0.019533604414677212,64.0,1.0,0.0
50,49,1,COMPLETE,2025-09-28 04:12:04.896174,2025-09-28 04:12:07.595298,0.6220254823735378,0.4479677927255629,1.0691966968064928,2.0,0.3421969977155127,0.013702398693507317,54.0,0.0,0.0
51,50,1,FAIL,2025-09-28 04:21:07.124531,2025-09-28 04:21:09.885170,,,,1.0,0.2554453718196177,0.02221995201173322,24.0,1.0,0.0
52,51,1,FAIL,2025-09-28 04:22:05.903060,2025-09-28 04:22:08.676636,,,,1.0,0.18276770541771203,0.03614528991905564,23.0,0.0,0.0
53,52,1,FAIL,2025-09-28 04:22:58.112902,2025-09-28 04:23:00.865819,,,,2.0,0.3148219448484806,0.02681510565661431,35.0,1.0,0.0
54,53,1,COMPLETE,2025-09-28 04:31:34.249839,2025-09-28 04:31:37.696010,-0.18697862201143264,0.49774768460473623,1.0792416636895616,1.0,0.42959850566518,0.04301950149265898,26.0,0.0,0.0
55,54,1,COMPLETE,2025-09-28 04:31:37.709618,2025-09-28 04:31:40.493447,0.282213026939506,0.2809119610207833,1.0863755707049323,3.0,0.3931527743643183,0.04187684966474966,74.0,1.0,0.0
56,55,1,COMPLETE,2025-09-28 04:31:40.507252,2025-09-28 04:31:43.353867,0.35048065705124465,0.4120338585266128,1.0301871127952875,2.0,0.3353424900600187,0.023610448237078606,55.0,0.0,0.0
57,56,1,COMPLETE,2025-09-28 04:31:43.365223,2025-09-28 04:31:46.761957,-0.2467141025303288,0.6853052605872111,0.8572522434419783,2.0,0.32547970207131427,0.017917531200537212,68.0,0.0,0.0
58,57,1,COMPLETE,2025-09-28 04:31:46.772723,2025-09-28 04:31:49.518352,-0.14696173532561413,0.6619766533293466,0.7618013663673168,5.0,0.15960924724790987,0.018270504326561295,64.0,0.0,0.0
59,58,1,COMPLETE,2025-09-28 04:31:49.530533,2025-09-28 04:31:52.452879,-0.5048056596905232,0.5579275674444828,0.7736360621846893,3.0,0.2554453718196177,0.02221995201173322,26.0,1.0,0.0
60,59,1,COMPLETE,2025-09-28 04:31:52.465191,2025-09-28 04:31:55.420245,0.4952773286762202,0.4710261768708875,1.1635123248545667,1.0,0.45019794272130287,0.018270504326561295,66.0,0.0,0.0
61,60,1,COMPLETE,2025-09-28 04:31:55.432218,2025-09-28 04:31:58.094728,0.588017223248273,0.6280103113277407,1.1297454318164692,4.0,0.4457752244228227,0.03564516843533135,36.0,0.0,0.0
